	parent	child
1180	root	K05789
1181	root	K22367
1182	root	K07834
1183	root	K08736
1184	root	K16318
1185	root	K20480
1186	root	K02065
1187	root	K02012
1188	root	K07725
1189	root	K10513
1190	root	K10350
1191	root	K24115
1192	root	K03607
1193	root	K25677
1194	root	K21305
1195	root	K25768
1196	root	K18270
1197	root	K09829
1198	root	K19956
1199	root	K16247
1200	root	K02878
1201	root	K10507
1202	root	K11279
1203	root	K16132
1204	root	K05786
1205	root	K24406
1206	root	K12174
1207	root	K15233
1208	root	K23355
1209	root	K01804
1210	root	K11517
1211	root	K04937
1212	root	K02128
1213	root	K20749
1214	root	K01810
1215	root	K24133
1216	root	K16626
1217	root	K01447
1218	root	K25148
1219	root	K14533
1220	root	K00925
1221	root	K21619
1222	root	K18594
1223	root	K05313
1224	root	K19617
1225	root	K24585
1226	root	K00337
1227	root	K22201
1228	root	K02280
1229	root	K07672
1230	root	K17991
1231	root	K17097
1232	root	K01578
1233	root	K24715
1234	root	K19004
1235	root	K00400
1236	root	K17984
1237	root	K12930
1238	root	K16606
1239	root	K24214
1240	root	K11065
1241	root	K23655
1242	root	K07266
1243	root	K11674
1244	root	K15521
1245	root	K14625
1246	root	K00195
1247	root	K06918
1248	root	K01667
1249	root	K21360
1250	root	K18137
1251	root	K08845
1252	root	K21608
1253	root	K19394
1254	root	K03404
1255	root	K24518
1256	root	K18254
1257	root	K03431
1258	root	K05069
1259	root	K02684
1260	root	K04850
1261	root	K08063
1262	root	K16807
1263	root	K20909
1264	root	K20087
1265	root	K02033
1266	root	K23898
1267	root	K23363
1268	root	K10647
1269	root	K18922
1270	root	K06846
1271	root	K22636
1272	root	K09589
1273	root	K17498
1274	root	K19454
1275	root	K00036
1276	root	K09761
1277	root	K00067
1278	root	K21361
1279	root	K13542
1280	root	K15769
1281	root	K04813
1282	root	K24749
1283	root	K03710
1284	root	K21042
1285	root	K21228
1286	root	K10787
1287	root	K04886
1288	root	K16409
1289	root	K21337
1290	root	K13111
1291	root	K23269
1292	root	K12882
1293	root	K02147
1294	root	K14794
1295	root	K15340
1296	root	K01669
1297	root	K15336
1298	root	K05007
1299	root	K15234
1300	root	K09396
1301	root	K21748
1302	root	K03943
1303	root	K04568
1304	root	K06289
1305	root	K02016
1306	root	K00780
1307	root	K19745
1308	root	K24707
1309	root	K23951
1310	root	K09704
1311	root	K23804
1312	root	K09415
1313	root	K08565
1314	root	K12911
1315	root	K09070
1316	root	K10296
1317	root	K06692
1318	root	K01930
1319	root	K23791
1320	root	K15387
1321	root	K07500
1322	root	K06038
1323	root	K25590
1324	root	K10207
1325	root	K24458
1326	root	K04972
1327	root	K00861
1328	root	K12777
1329	root	K02690
1330	root	K09018
1331	root	K11351
1332	root	K17529
1333	root	K18297
1334	root	K04375
1335	root	K16437
1336	root	K22528
1337	root	K01702
1338	root	K07373
1339	root	K00023
1340	root	K04603
1341	root	K18881
1342	root	K06498
1343	root	K17311
1344	root	K00915
1345	root	K25771
1346	root	K09471
1347	root	K12124
1348	root	K07893
1349	root	K05481
1350	root	K24055
1351	root	K16076
1352	root	K24935
1353	root	K07227
1354	root	K23144
1355	root	K16800
1356	root	K11366
1357	root	K11857
1358	root	K04376
1359	root	K14011
1360	root	K11224
1361	root	K02582
1362	root	K18056
1363	root	K11665
1364	root	K21068
1365	root	K24961
1366	root	K14505
1367	root	K24487
1368	root	K10646
1369	root	K08424
1370	root	K16230
1371	root	K18209
1372	root	K20273
1373	root	K03422
1374	root	K01838
1375	root	K06949
1376	root	K05208
1377	root	K01350
1378	root	K15385
1379	root	K07202
1380	root	K13646
1381	root	K09375
1382	root	K12071
1383	root	K04270
1384	root	K25776
1385	root	K21363
1386	root	K06757
1387	root	K11255
1388	root	K02979
1389	root	K16420
1390	root	K07304
1391	root	K17200
1392	root	K08344
1393	root	K08068
1394	root	K00911
1395	root	K20796
1396	root	K23862
1397	root	K01223
1398	root	K21380
1399	root	K23890
1400	root	K15665
1401	root	K16847
1402	root	K16624
1403	root	K08032
1404	root	K23333
1405	root	K20466
1406	root	K21979
1407	root	K21710
1408	root	K10294
1409	root	K02745
1410	root	K00252
1411	root	K18114
1412	root	K20734
1413	root	K15480
1414	root	K08459
1415	root	K06959
1416	root	K19090
1417	root	K24864
1418	root	K17833
1419	root	K20937
1420	root	K23903
1421	root	K07654
1422	root	K01437
1423	root	K23879
1424	root	K10006
1425	root	K06969
1426	root	K08804
1427	root	K07423
1428	root	K04467
1429	root	K01207
1430	root	K20494
1431	root	K17025
1432	root	K24085
1433	root	K13401
1434	root	K13099
1435	root	K18609
1436	root	K20906
1437	root	K18803
1438	root	K21634
1439	root	K15928
1440	root	K03960
1441	root	K06136
1442	root	K03026
1443	root	K10340
1444	root	K18126
1445	root	K14851
1446	root	K00033
1447	root	K01480
1448	root	K23670
1449	root	K03115
1450	root	K14468
1451	root	K03058
1452	root	K04020
1453	root	K00982
1454	root	K21097
1455	root	K02996
1456	root	K17638
1457	root	K07012
1458	root	K10508
1459	root	K19372
1460	root	K24059
1461	root	K11506
1462	root	K11055
1463	root	K21113
1464	root	K20861
1465	root	K19785
1466	root	K21616
1467	root	K06124
1468	root	K22000
1469	root	K23651
1470	root	K02331
1471	root	K23032
1472	root	K04918
1473	root	K09716
1474	root	K04688
1475	root	K06356
1476	root	K14874
1477	root	K07833
1478	root	K04437
1479	root	K01715
1480	root	K12057
1481	root	K11496
1482	root	K23191
1483	root	K07538
1484	root	K18895
1485	root	K17086
1486	root	K08213
1487	root	K08468
1488	root	K18838
1489	root	K18800
1490	root	K10476
1491	root	K16030
1492	root	K08662
1493	root	K20316
1494	root	K19385
1495	root	K19545
1496	root	K01178
1497	root	K10037
1498	root	K09048
1499	root	K16442
1500	root	K09941
1501	root	K01923
1502	root	K16206
1503	root	K07491
1504	root	K06090
1505	root	K20989
1506	root	K16627
1507	root	K23107
1508	root	K20525
1509	root	K06134
1510	root	K11732
1511	root	K13354
1512	root	K20328
1513	root	K01781
1514	root	K18966
1515	root	K09567
1516	root	K01179
1517	root	K03604
1518	root	K09250
1519	root	K17965
1520	root	K23490
1521	root	K04264
1522	root	K06785
